"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"United Arab Emirates","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 30-34","2023",84.359,,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 35-39","2023",86.706,,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 40-44","2023",84.298,,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 45-49","2023",82.924,,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 50-54","2023",80.492,,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 55-59","2023",71.712,,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 60-64","2023",60.258,,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 65+","2023",30.27,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Argentina","LFS - Permanent Household Survey, Urban","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Youth, adults): 15+","2023",58.462,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Youth, adults): 15-64","2023",66.498,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Youth, adults): 15-24","2023",32.126,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Youth, adults): 25+","2023",65.027,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2023",58.462,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Aggregate bands): 15-24","2023",32.126,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Aggregate bands): 25-54","2023",80.13,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Aggregate bands): 55-64","2023",63.772,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Aggregate bands): 65+","2023",15.636,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (10-year bands): Total","2023",58.462,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (10-year bands): 15-24","2023",32.126,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (10-year bands): 25-34","2023",76.641,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (10-year bands): 35-44","2023",82.718,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (10-year bands): 45-54","2023",81.25,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (10-year bands): 55-64","2023",63.772,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (10-year bands): 65+","2023",15.636,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): Total","2023",58.462,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 15-19","2023",12.108,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 20-24","2023",52.3,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 25-29","2023",73.607,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 30-34","2023",79.668,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 35-39","2023",82.738,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 40-44","2023",82.698,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 45-49","2023",83.242,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 50-54","2023",78.864,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 55-59","2023",72.914,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 60-64","2023",54.062,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 65+","2023",15.636,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Australia","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Youth, adults): 15+","2023",64.707,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Youth, adults): 15-64","2023",77.788,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Youth, adults): 15-24","2023",64.925,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Youth, adults): 25+","2023",64.668,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2023",64.707,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Aggregate bands): 15-24","2023",64.925,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Aggregate bands): 25-54","2023",84.576,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Aggregate bands): 55-64","2023",67.596,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Aggregate bands): 65+","2023",15.233,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (10-year bands): Total","2023",64.707,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (10-year bands): 15-24","2023",64.925,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (10-year bands): 25-34","2023",84.724,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (10-year bands): 35-44","2023",85.375,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (10-year bands): 45-54","2023",83.498,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (10-year bands): 55-64","2023",67.596,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (10-year bands): 65+","2023",15.233,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): Total","2023",64.707,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 15-19","2023",50.433,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 20-24","2023",78.428,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 25-29","2023",84.288,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 30-34","2023",85.147,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 35-39","2023",85.164,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 40-44","2023",85.605,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 45-49","2023",85.116,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 50-54","2023",81.94,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 55-59","2023",76.075,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 60-64","2023",59.072,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Australia","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 65+","2023",15.233,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Youth, adults): 15+","2023",58.364,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Youth, adults): 15-64","2023",73.804,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Youth, adults): 15-24","2023",51.794,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Youth, adults): 25+","2023",59.27,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2023",58.364,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Aggregate bands): 15-24","2023",51.794,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Aggregate bands): 25-54","2023",85.371,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Aggregate bands): 55-64","2023",57.336,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Aggregate bands): 65+","2023",5.129,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (10-year bands): Total","2023",58.364,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (10-year bands): 15-24","2023",51.794,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (10-year bands): 25-34","2023",83.579,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (10-year bands): 35-44","2023",86.701,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (10-year bands): 45-54","2023",85.804,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (10-year bands): 55-64","2023",57.336,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (10-year bands): 65+","2023",5.129,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): Total","2023",58.364,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 15-19","2023",34.072,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 20-24","2023",67.839,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 25-29","2023",81.616,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 30-34","2023",85.393,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 35-39","2023",85.748,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 40-44","2023",87.673,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 45-49","2023",86.42,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 50-54","2023",85.262,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 55-59","2023",78.48,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 60-64","2023",33.803,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 65+","2023",5.129,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belgium","LFS - EU Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Youth, adults): 15+","2023",51.946,,,,"Repository: Eurostat special tabulation"
"Belgium","LFS - EU Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Youth, adults): 15-64","2023",66.576,,,,"Repository: Eurostat special tabulation"
"Belgium","LFS - EU Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Youth, adults): 15-24","2023",26.495,,,,"Repository: Eurostat special tabulation"
"Belgium","LFS - EU Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Youth, adults): 25+","2023",56.069,,,,"Repository: Eurostat special tabulation"
"Belgium","LFS - EU Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Aggregate bands): Total","2023",51.946,,,,"Repository: Eurostat special tabulation"
"Belgium","LFS - EU Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Aggregate bands): 15-24","2023",26.495,,,,"Repository: Eurostat special tabulation"
"Belgium","LFS - EU Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Aggregate bands): 25-54","2023",81.487,,,,"Repository: Eurostat special tabulation"
"Belgium","LFS - EU Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Aggregate bands): 55-64","2023",57.784,,,,"Repository: Eurostat special tabulation"
"Belgium","LFS - EU Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Aggregate bands): 65+","2023",3.319,,,,"Repository: Eurostat special tabulation"
"Belgium","LFS - EU Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (10-year bands): Total","2023",51.946,,,,"Repository: Eurostat special tabulation"
"Belgium","LFS - EU Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (10-year bands): 15-24","2023",26.495,,,,"Repository: Eurostat special tabulation"
"Belgium","LFS - EU Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (10-year bands): 25-34","2023",79.837,,,,"Repository: Eurostat special tabulation"
"Belgium","LFS - EU Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (10-year bands): 35-44","2023",83.309,,,,"Repository: Eurostat special tabulation"
"Belgium","LFS - EU Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (10-year bands): 45-54","2023",81.29,,,,"Repository: Eurostat special tabulation"
"Belgium","LFS - EU Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (10-year bands): 55-64","2023",57.784,,,,"Repository: Eurostat special tabulation"
"Belgium","LFS - EU Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (10-year bands): 65+","2023",3.319,,,,"Repository: Eurostat special tabulation"
"Belgium","LFS - EU Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): Total","2023",51.946,,,,"Repository: Eurostat special tabulation"
"Belgium","LFS - EU Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 15-19","2023",11.205,,,,"Repository: Eurostat special tabulation"
"Belgium","LFS - EU Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 20-24","2023",41.73,,,,"Repository: Eurostat special tabulation"
"Belgium","LFS - EU Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 25-29","2023",77.103,,,,"Repository: Eurostat special tabulation"
"Belgium","LFS - EU Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 30-34","2023",82.372,,,,"Repository: Eurostat special tabulation"
"Belgium","LFS - EU Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 35-39","2023",83.293,,,,"Repository: Eurostat special tabulation"
"Belgium","LFS - EU Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 40-44","2023",83.324,,,,"Repository: Eurostat special tabulation"
"Belgium","LFS - EU Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 45-49","2023",82.093,,,,"Repository: Eurostat special tabulation"
"Belgium","LFS - EU Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 50-54","2023",80.529,,,,"Repository: Eurostat special tabulation"
"Belgium","LFS - EU Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 55-59","2023",74.2,,,,"Repository: Eurostat special tabulation"
"Belgium","LFS - EU Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 60-64","2023",40.637,,,,"Repository: Eurostat special tabulation"
"Belgium","LFS - EU Labour Force Survey","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (5-year bands): 65+","2023",3.319,,,,"Repository: Eurostat special tabulation"
"Burkina Faso","LFS - Regional Integrated Survey on Employment and the Informal Sector","Employment-to-population ratio by sex and age (%)","Sex: Total","Age (Youth, adults): 15+","2023",44.915,,,,"Repository: ILO-STATISTICS - Micro data processing"
